run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,elapsed_seconds
20260521T0649Z,w1326,2026 03 21 - qacps.org_cip_2026-2026,qacps.org_cip_2026-2026,ok,,,20,20,yes,0.25,12996460.0,12996460.0,0.0,86.2
20260521T0650Z,w1326,2026 03 22 - calvertnet.k12.md.us_cip_2026-2031,calvertnet.k12.md.us_cip_2026-2031,ok,,,26,1,no,0.0,0.0,0.0,,85.4
20260521T0652Z,w1326,2026 03 22 - viennava.gov_cip_2026-2042,viennava.gov_cip_2026-2042,ok,,,44,36,no,0.682,49746000.0,134547812.0,1.7047,175.0
20260521T0655Z,w1326,2026 03 23 - westchicago.org_cip_2025-2029,westchicago.org_cip_2025-2029,ok,,,140,987,no,0.336,38478200.0,4.0545291151183355e+38,1.0537210979511348e+31,197.2
20260521T0658Z,w1326,2026 03 24 - cityhpil.com_cip_2026-2035,cityhpil.com_cip_2026-2035,ok,,,95,161,no,0.684,39773000.0,535124600.0,12.4545,567.7
20260521T0707Z,w1326,2026 03 24 - spotsylvania.k12.va.us_cip_2027-2031,spotsylvania.k12.va.us_cip_2027-2031,ok,,,218,92,no,0.0,358323581.0,145502347.0,0.5939,171.1
20260521T0710Z,w1326,2026 03 25 - cascadecountymt.gov_cip_2025-2025,cascadecountymt.gov_cip_2025-2025,ok,,,44,56,no,1.0,17523889.0,68681395.0,2.9193,99.2
20260521T0712Z,w1326,2026 03 25 - centralsan.org_cip_2026-2035,centralsan.org_cip_2026-2035,ok,,,82,0,no,0.0,1265620000.0,0,1.0,450.7
20260521T0720Z,w1326,2026 03 25 - cityofasbury.com_cip_2025-2030,cityofasbury.com_cip_2025-2030,ok,,,60,0,no,0.0,24973117.0,0,1.0,119.8
20260521T0722Z,w1326,2026 03 25 - herndon-va.gov_cip_2026-2031,herndon-va.gov_cip_2026-2031,ok,,,46,76,no,0.0,263724208.0,3.5000020000022525e+23,1327144757223898.8,570.8
20260521T0731Z,w1326,2026 03 25 - lrd.usace.army.mil.buf_cip_2026-2027,lrd.usace.army.mil.buf_cip_2026-2027,ok,,,19,19,yes,1.0,3000000.0,307000000.0,101.3333,85.9
20260521T0733Z,w1326,2026 03 25 - lrd.usace.army.mil.chi_cip_2026-2028,lrd.usace.army.mil.chi_cip_2026-2028,ok,,,46,0,no,0.0,0.0,0,,133.5
20260521T0735Z,w1326,2026 03 25 - nwp.usace.army.mil_cip_2026-2027,nwp.usace.army.mil_cip_2026-2027,failed,test_run,", in process
    print(f""         ID={r.get('Project_Number_Primary','?')}  Total=${r.get('Total_Project_Budget',0):,.0f}"")
                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: unsupported format string passed to NoneType.__format__
",31,,,,,,,97.1
20260521T0737Z,w1326,2026 03 26 - clcwa.org_cip_2026-2026,clcwa.org_cip_2026-2026,ok,,,40,982,no,0.975,2887762.0,924090848.0,319.0024,135.8
20260521T0739Z,w1326,2026 03 26 - covingtonky.gov_cip_2025-2025,covingtonky.gov_cip_2025-2025,ok,,,46,45,yes,0.935,0.0,63764555.0,,229.4
20260521T0743Z,w1326,2026 03 26 - hackensack.org_cip_2024-2029,hackensack.org_cip_2024-2029,ok,,,12,0,no,0.0,33066362.0,0,1.0,136.6
20260521T0745Z,w1326,2026 03 26 - idaho.gov_state_cip_2026-2026,idaho.gov_state_cip_2026-2026,ok,,,8,8,yes,0.25,832600.0,5167600.0,5.2066,105.0
20260521T0747Z,w1326,2026 03 26 - mesacounty.us_cip_2026-2031_proposed,mesacounty.us_cip_2026-2031_proposed,ok,,,126,43,no,0.238,232353890.0,117119444462074.0,504055.3102,87.6
20260521T0749Z,w1326,2026 03 26 - mvn.usace.army.mil_cip_2026-2028,mvn.usace.army.mil_cip_2026-2028,ok,,,29,29,yes,0.172,0.0,969500000.0,,92.3
20260521T0750Z,w1326,2026 03 26 - nan.usace.army.mil_cip_2026-2029,nan.usace.army.mil_cip_2026-2029,failed,qa,"  )
  File ""C:\Users\dave\UsersdaveDownloadscolab-cip-extract\cip_tools\cli.py"", line 187, in <genexpr>
    float(str(r.get(""Total_Project_Budget"", 0)).replace("","", """") or 0)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: could not convert string to float: 'None'
",50,,,,,,,105.1
20260521T0752Z,w1326,2026 03 26 - swg.usace.army.mil_cip_2026-2031,swg.usace.army.mil_cip_2026-2031,ok,,,50,77,no,0.96,0.0,2841000000.0,,118.7
20260521T0754Z,w1326,2026 03 26 - winchesterky.com_cip_2025-2025,winchesterky.com_cip_2025-2025,ok,,,28,26,no,0.214,2482723.0,0.0,1.0,176.9
20260521T0758Z,w1326,2026 03 27 - netamu.com_cip_2026-2030,netamu.com_cip_2026-2030,ok,,,73,0,no,0.0,17253278.0,0,1.0,110.9
20260521T0800Z,w1426,2026 03 10 - cliftonnj.org_cip_2025-2030,cliftonnj.org_cip_2025-2030,ok,,,46,46,yes,1.0,103030100.0,103030100.0,0.0,140.1
20260521T0802Z,w1426,2026 03 10 - kenoshacounty.org_cip_2026-2030,kenoshacounty.org_cip_2026-2030,ok,,,138,2,no,0.0,147762000.0,165207973.0,0.1181,418.0
20260521T0809Z,w1426,2026 03 10 - maryland.gov_tip_2026-2031,maryland.gov_tip_2026-2031,ok,,,49,39,no,0.612,8341139.0,1732791000.0,206.7403,130.1
20260521T0812Z,w1426,2026 03 16 - sacsewer.com_cip_2026-2035,sacsewer.com_cip_2026-2035,ok,,,77,84,no,0.052,3598026.0,589062645554700.0,163718283.8469,240.6
20260521T0816Z,w1426,2026 03 23 - cityoflaurel.org_cip_2026-2031,cityoflaurel.org_cip_2026-2031,ok,,,63,1,no,0.0,23897932.0,4769604.0,0.8004,564.7
20260521T0825Z,w1426,2026 03 25 - cid.utah.gov_cip_2025-2025,cid.utah.gov_cip_2025-2025,ok,,,12,90,no,0.0,24300.0,109490017.0,4504.762,77.7
20260521T0827Z,w1426,2026 03 26 - centennialwater.org_cip_2025-2034_proposed,centennialwater.org_cip_2025-2034_proposed,ok,,,55,329,no,0.909,263853705.0,811272531024.86,3073.7059,184.0
20260521T0830Z,w1426,2026 03 26 - housingforhouston.com_cip_2023-2027,housingforhouston.com_cip_2023-2027,failed,design," in __exit__
    self.gen.throw(value)
    ~~~~~~~~~~~~~~^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\httpx\_transports\default.py"", line 118, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ReadTimeout: The read operation timed out
",192,,,,,,,155.7
20260521T0832Z,w1426,2026 03 26 - idahofallsidaho.gov_cip_2026-2026,idahofallsidaho.gov_cip_2026-2026,ok,,,195,0,no,0.0,152848413.0,0,1.0,253.4
20260521T0837Z,w1426,2026 03 26 - swf.usace.army.mil_cip_2026-2028,swf.usace.army.mil_cip_2026-2028,ok,,,128,124,yes,0.945,4133000000.0,3358000000.0,0.1875,101.1
20260521T0838Z,w1426,2026 03 27 - flyoma.com_cip_2026-2030,flyoma.com_cip_2026-2030,ok,,,16,16,yes,0.688,924680000.0,924680000.0,0.0,63.2
20260521T0839Z,w1426,2026 03 27 - townofmamaroneckny.org_cip_2025-2029,townofmamaroneckny.org_cip_2025-2029,ok,,,93,94,yes,0.011,74994430.0,22045337.0,0.706,299.9
20260521T0844Z,w1426,2026 03 30 - dentoncounty.gov_cip_2026-2026,dentoncounty.gov_cip_2026-2026,ok,,,58,67,no,0.0,0.0,5540016.0,,598.7
20260521T0855Z,w1426,2026 03 30 - douglasvillega.gov_cip_2025-2028,douglasvillega.gov_cip_2025-2028,ok,,,58,10,no,0.0,8247172.0,50181516.0,5.0847,317.0
20260521T0900Z,w1426,2026 03 30 - fredericksburgva.gov_cip_2025-2029,fredericksburgva.gov_cip_2025-2029,ok,,,85,92,no,0.988,189403024.0,30677616.0,0.838,707.9
20260521T0912Z,w1426,2026 03 30 - mercedthebus.com_cip_2026-2026,mercedthebus.com_cip_2026-2026,ok,,,23,13,no,0.13,36509763.0,2600006728367.0,71213.0128,89.5
20260521T0913Z,w1426,2026 03 30 - monroecountypa.gov_cip_2026-2026,monroecountypa.gov_cip_2026-2026,ok,,,14,41,no,0.0,9463123.0,684426134.0596,71.3256,90.4
20260521T0915Z,w1426,2026 04 02 - countyofamherst.com_cip_2025-2029,countyofamherst.com_cip_2025-2029,ok,,,34,13,no,0.0,3996042.0,0.0,1.0,596.6
20260521T0925Z,w1426,2026 04 02 - glsd.org_cip_2026-2030,glsd.org_cip_2026-2030,ok,,,25,1,no,0.04,21923808.0,26.0,1.0,129.1
20260521T0927Z,w1426,2026 04 02 - kirkwoodmo.org_cip_2025-2029,kirkwoodmo.org_cip_2025-2029,ok,,,148,7,no,0.0,94883686.0,5.109674525004324e+29,5.385198173060356e+21,192.6
20260521T0930Z,w1426,2026 04 03 - columbiasc.gov_cip_2026-2026,columbiasc.gov_cip_2026-2026,ok,,,27,23,no,0.815,0.0,116585000.0,,124.0
20260521T0932Z,w1426,2026 04 04 - cuwcd.com_cip_2026-2026,cuwcd.com_cip_2026-2026,ok,,,42,61,no,0.81,201443256.0,389350774.0,0.9328,115.5
20260521T0934Z,w1526,2026 03 09 - culpepercounty.gov_cip_2026-2030,culpepercounty.gov_cip_2026-2030,ok,,,107,127,no,0.935,424478626.0,424478626.0,0.0,154.9
20260521T0937Z,w1526,2026 03 12 - polkcountyiowa.gov_cip_2025-2025,polkcountyiowa.gov_cip_2025-2025,ok,,,98,95,yes,0.52,12664530.0,25428977.0,1.0079,87.6
20260521T0939Z,w1526,2026 03 12 - portagecounty-oh.gov_cip_2026-2031,portagecounty-oh.gov_cip_2026-2031,ok,,,99,104,no,0.848,25750589.0,6793804.0,0.7362,122.0
20260521T0941Z,w1526,2026 03 14 - rockvillemd.gov_cip_2026-2030,rockvillemd.gov_cip_2026-2030,failed,ingest,"(self.layout._objs):
                                        ^^^^^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\pdfplumber\page.py"", line 268, in layout
    raise PdfminerException(e)
pdfplumber.utils.exceptions.PdfminerException: [Errno 22] Invalid argument
",72,,,,,,,182.5
20260521T0944Z,w1526,2026 03 19 - fallschurchva.gov_cip_2027-2032_proposed,fallschurchva.gov_cip_2027-2032_proposed,failed,ingest,"n enumerate(iter_pages()):
                   ~~~~~~~~~^^^^^^^^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\pdfplumber\pdf.py"", line 161, in iter_pages
    raise PdfminerException(e)
pdfplumber.utils.exceptions.PdfminerException: [Errno 22] Invalid argument
",50,,,,,,,84.2
20260521T0945Z,w1526,2026 03 24 - apsva.us_cip_2025-2034,apsva.us_cip_2025-2034,ok,,,15,29,no,0.133,1096.18,75870000.0,69212.0854,190.0
20260521T0949Z,w1526,2026 03 26 - glynncounty.org_cip_2026-2030_proposed,glynncounty.org_cip_2026-2030_proposed,failed,design,"~~~~~~~~~^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\httpx\_transports\default.py"", line 118, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ReadError: [WinError 10054] An existing connection was forcibly closed by the remote host
",140,,,,,,,204.6
20260521T0952Z,w1526,2026 04 04 - countyofsb.org_cip_2027-2031,countyofsb.org_cip_2027-2031,ok,,,192,147,no,0.172,136140000.0,43460659.0,0.6808,128.1
20260521T0954Z,w1526,2026 04 06 - sara-tx.org_cip_2026-2035,sara-tx.org_cip_2026-2035,ok,,,47,45,yes,0.0,530262822.0,87161.0,0.9998,514.6
20260521T1003Z,w1526,2026 04 10 - d-laketransit.org-ca_tip_2026-2026,d-laketransit.org-ca_tip_2026-2026,ok,,,18,2,no,0.0,982493.0,0.0,1.0,57.7
20260521T1004Z,w1626,2026 02 26 - casscountynd.gov_cip_2026-2030,casscountynd.gov_cip_2026-2030,failed,timeout,Pipeline timed out after 900s,99,,,,,,,900.4
20260521T1019Z,w1626,2026 02 28 - stancounty.com_cip_2025-2029,stancounty.com_cip_2025-2029,ok,,,231,77,no,0.004,2025366338.0,501213147.659,0.7525,110.6
20260521T1021Z,w1626,2026 03 07 - lcwsa.net_cip_2026-2030,lcwsa.net_cip_2026-2030,failed,test_run,"ne 159, in process
    print(f""         ID={r.get('Project_Number_Primary','?')}  Total=${r.get('Total_Project_Budget',0):,.0f}"")
                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: Unknown format code 'f' for object of type 'str'
",197,,,,,,,87.4
20260521T1022Z,w1626,2026 04 04 - flyabe.com_cip_2024-2028,flyabe.com_cip_2024-2028,ok,,,77,26,no,0.545,85841913.0,2024.0,1.0,124.2
20260521T1024Z,w1626,2026 04 07 - cityofplacerville.org_cip_2026-2026,cityofplacerville.org_cip_2026-2026,ok,,,10,8,no,0.8,0.0,383720.0,,76.4
20260521T1026Z,w1626,2026 04 07 - co.marathon.wi.us_cip_2026-2030_proposed,co.marathon.wi.us_cip_2026-2030_proposed,ok,,,137,1200,no,0.701,0.0,223782953.56,,310.6
20260521T1031Z,w1626,2026 04 09 - midpeninsulawater.org_cip_2026-2026,midpeninsulawater.org_cip_2026-2026,ok,,,13,11,no,0.692,21293806.0,114917606.0,4.3968,111.5
20260521T1033Z,w1626,2026 04 09 - swbno.org_cip_2025-2034,swbno.org_cip_2025-2034,ok,,,151,87,no,0.0,391437216.0,1205991444.0,2.0809,153.8
20260521T1035Z,w1626,2026 04 14 - kingcounty.gov_tip_2025-2030,kingcounty.gov_tip_2025-2030,ok,,,38,38,yes,0.447,0.0,299850812.0,,128.2
20260521T1038Z,w1626,2026 04 14 - revere.org_cip_2026-2030,revere.org_cip_2026-2030,ok,,,118,31,no,0.0,0.0,52280.0,,162.0
20260521T1040Z,w1626,2026 04 15 - greenvillenc.gov_cip_2026-2030,greenvillenc.gov_cip_2026-2030,ok,,,65,13,no,0.0,313728916.0,36478205.47,0.8837,110.9
20260521T1042Z,w1626,2026 04 15 - mendocinocounty.org_cip_2026-2026,mendocinocounty.org_cip_2026-2026,ok,,,48,378,no,0.0,4925963.94,558210553.0,112.3201,492.9
20260521T1051Z,w1626,2026 04 16 - mvk.usace.army.mil_cip_2026-2027,mvk.usace.army.mil_cip_2026-2027,ok,,,8,4,no,0.0,0.0,12000000.0,,76.9
20260521T1052Z,w1626,2026 04 18 - cityofsouthfultonga.gov_cip_2026-2030,cityofsouthfultonga.gov_cip_2026-2030,ok,,,27,28,yes,0.0,77515293.0,0.0,1.0,174.5
20260521T1055Z,w1726,2026 03 12 - sbtnj.net_cip_2025-2030,sbtnj.net_cip_2025-2030,ok,,,19,21,no,0.0,39214401.0,78428802.0,1.0,109.0
